lat,lon,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
52.153713,10.400915,334.36,0.4,0.37,2015/11/1,118,N,VIIRS,n,1,280.44,6.39,N,2
52.157066,10.402103,323.29,0.4,0.37,2015/11/1,118,N,VIIRS,n,1,275.16,6.39,N,2
52.1614,10.422076,307.45,0.4,0.37,2015/11/1,118,N,VIIRS,n,1,273.99,1.4,N,2
52.162193,10.416209,330.97,0.4,0.37,2015/11/1,118,N,VIIRS,n,1,276.83,3.38,N,2
52.173046,10.413922,306.8,0.4,0.37,2015/11/1,118,N,VIIRS,n,1,274.81,1.27,N,2
51.879341,12.577814,297.4,0.38,0.36,2015/11/1,118,N,VIIRS,n,1,279.45,1.18,N,0
51.880188,12.57231,307.57,0.38,0.36,2015/11/1,118,N,VIIRS,n,1,277.92,1.18,N,0
52.353439,9.887119,300.57,0.41,0.37,2015/11/1,118,N,VIIRS,n,1,275.09,0.59,N,2
51.686718,15.982324,327.77,0.41,0.37,2015/11/1,118,N,VIIRS,n,1,278.53,4.79,N,3
51.687798,15.976513,327.13,0.41,0.37,2015/11/1,118,N,VIIRS,n,1,277.07,6.6,N,3
51.10474,18.942524,309.77,0.5,0.41,2015/11/1,118,N,VIIRS,n,1,276.58,1.83,N,2
52.932518,8.110283,308.82,0.46,0.39,2015/11/1,118,N,VIIRS,n,1,271.18,1.76,N,0
53.569778,-0.593395,299.93,0.33,0.56,2015/11/1,118,N,VIIRS,n,1,268.57,0.81,N,3
53.635742,-0.243185,296.14,0.32,0.55,2015/11/1,118,N,VIIRS,n,1,271.27,0.89,N,2
49.826385,24.798939,302.23,0.61,0.53,2015/11/1,118,N,VIIRS,n,1,271.28,1.83,N,0
52.15778,14.64642,307.97,0.39,0.36,2015/11/1,118,N,VIIRS,n,1,276.59,1.31,N,0
52.158745,14.640823,313.59,0.39,0.36,2015/11/1,118,N,VIIRS,n,1,274.57,1.31,N,0
61.275574,0.914436,308.27,0.33,0.55,2015/11/1,118,N,VIIRS,n,1,279.69,1.38,N,3
61.238453,1.148076,297.24,0.32,0.55,2015/11/1,118,N,VIIRS,n,1,279.41,0.77,N,3
60.857151,1.465055,324.81,0.63,0.54,2015/11/1,118,N,VIIRS,n,1,280.83,3.65,N,3
59.54509,1.533081,305.59,0.61,0.53,2015/11/1,118,N,VIIRS,n,1,281,1.44,N,3
59.359631,1.570314,311.14,0.61,0.53,2015/11/1,118,N,VIIRS,n,1,281.61,1.7,N,3
58.461105,0.248871,320.32,0.33,0.56,2015/11/1,118,N,VIIRS,n,1,281.79,1.17,N,3
58.461269,0.242991,297.92,0.33,0.56,2015/11/1,118,N,VIIRS,n,1,281.36,1.15,N,3
58.353283,0.865269,304.11,0.63,0.54,2015/11/1,118,N,VIIRS,n,1,281.62,0.98,N,3
58.290543,0.19576,304.84,0.33,0.56,2015/11/1,118,N,VIIRS,n,1,281.52,1.02,N,3
57.617371,1.639295,317.59,0.59,0.52,2015/11/1,118,N,VIIRS,n,1,282.51,2.4,N,3
57.615494,1.640548,317.2,0.58,0.52,2015/11/1,118,N,VIIRS,n,1,282.5,2.43,N,3
57.284939,2.174419,305.03,0.56,0.51,2015/11/1,118,N,VIIRS,n,1,281.82,0.99,N,3
57.285683,2.179255,307.05,0.55,0.51,2015/11/1,118,N,VIIRS,n,1,281.88,1.1,N,3
57.119381,-2.278705,299.86,0.41,0.6,2015/11/1,118,N,VIIRS,n,1,274.85,0.61,N,0
53.271793,24.440685,295.7,0.46,0.47,2015/11/1,118,N,VIIRS,n,1,266.55,0.57,N,2
48.606766,34.256317,299.73,0.78,0.78,2015/11/1,118,N,VIIRS,n,1,263.77,1.34,N,0
51.409855,23.899263,308.09,0.5,0.49,2015/11/1,118,N,VIIRS,n,1,269.3,1.92,N,0
50.54554,26.264009,296.99,0.33,0.55,2015/11/1,118,N,VIIRS,n,1,272.69,1.35,N,2
50.540817,26.260712,305.1,0.33,0.55,2015/11/1,118,N,VIIRS,n,1,273.16,1.35,N,0
50.543522,26.261858,326.96,0.33,0.55,2015/11/1,118,N,VIIRS,n,1,279.51,1.88,N,3
47.882099,33.443909,301.65,0.77,0.78,2015/11/1,118,N,VIIRS,n,1,269.11,2.17,N,2
47.869461,33.433002,295.06,0.77,0.78,2015/11/1,118,N,VIIRS,n,1,268.5,7.46,N,3
47.863682,33.442314,349.7,0.78,0.78,2015/11/1,118,N,VIIRS,n,1,271.27,6.44,N,3
47.867275,33.433006,301.32,0.77,0.78,2015/11/1,118,N,VIIRS,n,1,269.03,6.44,N,3
53.520752,9.901182,327.01,0.42,0.38,2015/11/1,118,N,VIIRS,n,1,265.48,3.54,N,3
50.928188,21.677622,306.94,0.43,0.46,2015/11/1,118,N,VIIRS,n,1,275.81,1.64,N,0
52.489502,13.837753,301.13,0.39,0.36,2015/11/1,118,N,VIIRS,n,1,279.13,0.53,N,2
53.138702,8.680839,314.04,0.45,0.39,2015/11/1,118,N,VIIRS,n,1,272.52,2.13,N,2
53.135159,8.6797,317.38,0.45,0.39,2015/11/1,118,N,VIIRS,n,1,272.69,2.13,N,2
52.17374,7.890112,296.7,0.46,0.39,2015/11/1,118,N,VIIRS,n,1,279.11,0.48,N,2
53.131615,8.678555,320.07,0.45,0.39,2015/11/1,118,N,VIIRS,n,1,271.05,3.36,N,2
53.12495,8.704219,314.7,0.45,0.39,2015/11/1,118,N,VIIRS,n,1,272.83,1.76,N,2
51.367184,18.977091,332.15,0.5,0.41,2015/11/1,118,N,VIIRS,n,1,272.61,5.02,N,0
52.171391,14.628494,299.3,0.39,0.36,2015/11/1,118,N,VIIRS,n,1,277.07,0.66,N,2
52.166798,14.614337,301.86,0.39,0.36,2015/11/1,118,N,VIIRS,n,1,277.26,0.71,N,2
41.43998,21.939156,352.22,0.4,0.6,2015/11/1,118,N,VIIRS,n,1,278.48,6.48,N,2
41.438709,21.943594,303.75,0.4,0.6,2015/11/1,118,N,VIIRS,n,1,278.61,2.87,N,2
41.445473,21.943201,344.65,0.4,0.6,2015/11/1,118,N,VIIRS,n,1,277.71,5.03,N,2
41.440178,21.940802,367,0.4,0.6,2015/11/1,118,N,VIIRS,h,1,280.11,5.03,N,2
41.441406,21.936392,299.98,0.4,0.6,2015/11/1,118,N,VIIRS,n,1,275.03,5.03,N,2
41.438931,21.945259,302.94,0.4,0.6,2015/11/1,118,N,VIIRS,n,1,279.19,3.83,N,2
41.418159,21.934193,305.28,0.4,0.6,2015/11/1,118,N,VIIRS,n,1,275.8,1.13,N,2
44.046795,7.76512,328.65,0.4,0.37,2015/11/1,118,N,VIIRS,n,1,279.11,2.39,N,0
41.445274,21.941553,367,0.4,0.6,2015/11/1,118,N,VIIRS,h,1,279.36,7.49,N,2
45.245159,6.413049,297.33,0.44,0.38,2015/11/1,118,N,VIIRS,n,1,282.5,0.89,N,2
45.143757,9.94547,295.79,0.38,0.36,2015/11/1,118,N,VIIRS,n,1,280.42,3.31,N,2
